  [2022-05-10 09:14:55] Starting task:          DirectoryBasedAnalysisTask
  [2022-05-10 09:16:00] Task ended (+00:01:05): DirectoryBasedAnalysisTask     Result:OK
  [2022-05-10 09:16:00] Starting task:          JANFilterTask
  [2022-05-10 09:16:02] Task ended (+00:00:02): JANFilterTask                  Result:OK
  [2022-05-10 09:16:02] Starting task:          JAN2limTask
  [2022-05-10 09:16:17] Task ended (+00:00:15): JAN2limTask                    Result:OK
  [2022-05-10 09:16:17] Starting task:          DcfTask
  [2022-05-10 09:16:17] Starting task:          Lim2metricsTask
  [2022-05-10 09:16:17] Starting task:          ProfileTask
  [2022-05-10 09:16:18] Task ended (+00:00:01): ProfileTask                    Result:OK
  [2022-05-10 09:16:18] Starting task:          AndroidHunterTask
  [2022-05-10 09:16:18] Starting task:          FindBugsTask
  [2022-05-10 09:16:18] Task ended (+00:00:00): FindBugsTask                   Result:critical error 
EXCEPTION:Task.cpp:160:ERROR: Execution failure! Exit:1


  [2022-05-10 09:16:18] Starting task:          PMD2GraphTask
  [2022-05-10 09:16:20] Task ended (+00:00:02): AndroidHunterTask              Result:OK
  [2022-05-10 09:16:20] Starting task:          FaultHunterTask
  [2022-05-10 09:16:22] Task ended (+00:00:02): FaultHunterTask                Result:OK
  [2022-05-10 09:16:22] Starting task:          RTEHunterTask
  [2022-05-10 09:16:22] Task ended (+00:00:04): PMD2GraphTask                  Result:OK
  [2022-05-10 09:16:22] Starting task:          VulnerabilityHunterTask
  [2022-05-10 09:16:23] Task ended (+00:00:06): Lim2metricsTask                Result:OK
  [2022-05-10 09:16:23] Task ended (+00:00:01): RTEHunterTask                  Result:OK
  [2022-05-10 09:16:24] Task ended (+00:00:02): VulnerabilityHunterTask        Result:OK
  [2022-05-10 09:16:37] Task ended (+00:00:20): DcfTask                        Result:OK
Failed!
